Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,64,0.005736,31,0.999999,1e-06,-0.04,-1,0.86,0.5
value,64,0.004337,31,0.999999,1e-06,-0.04,-1,0.87,0.5
value,64,0.006244,31,0.999999,1e-06,-0.04,-1,0.88,0.5
value,64,0.005756,31,0.999999,1e-06,-0.04,-1,0.89,0.5
value,64,0.004516,31,0.999999,1e-06,-0.04,-1,0.9,0.5
value,64,0.004901,31,0.999999,1e-06,-0.04,-1,0.91,0.5
value,64,0.005079,31,0.999999,1e-06,-0.04,-1,0.92,0.5
value,64,0.003899,31,0.999999,1e-06,-0.04,-1,0.93,0.5
value,64,0.004891,31,0.999999,1e-06,-0.04,-1,0.94,0.5
value,64,0.005569,31,0.999999,1e-06,-0.04,-1,0.95,0.5
value,64,0.0042,31,0.999999,1e-06,-0.04,-1,0.96,0.5
value,64,0.003877,31,0.999999,1e-06,-0.04,-1,0.97,0.5
value,64,0.006452,31,0.999999,1e-06,-0.04,-1,0.98,0.5
value,64,0.006595,31,0.999999,1e-06,-0.04,-1,0.99,0.5
value,64,0.007018,31,0.999999,1e-06,-0.04,-1,1,0.5
value,64,0.007183,31,0.999999,1e-06,-0.04,-1,1.01,0.5
value,64,0.005091,31,0.999999,1e-06,-0.04,-1,1.02,0.5
value,64,0.00417,31,0.999999,1e-06,-0.04,-1,1.03,0.5
value,64,0.005147,31,0.999999,1e-06,-0.04,-1,1.04,0.5
value,64,0.004154,31,0.999999,1e-06,-0.04,-1,1.05,0.5
value,64,0.004436,31,0.999999,1e-06,-0.04,-1,1.06,0.5
value,64,0.006683,31,0.999999,1e-06,-0.04,-1,1.07,0.5
value,64,0.006715,31,0.999999,1e-06,-0.04,-1,1.08,0.5
value,64,0.007131,31,0.999999,1e-06,-0.04,-1,1.09,0.5
value,64,0.005613,31,0.999999,1e-06,-0.04,-1,1.1,0.5
value,64,0.006454,31,0.999999,1e-06,-0.04,-1,1.11,0.5
value,64,0.006722,31,0.999999,1e-06,-0.04,-1,1.12,0.5
value,64,0.006085,31,0.999999,1e-06,-0.04,-1,1.13,0.5
value,64,0.005448,31,0.999999,1e-06,-0.04,-1,1.14,0.5
value,64,0.006508,31,0.999999,1e-06,-0.04,-1,1.15,0.5
value,64,0.006142,31,0.999999,1e-06,-0.04,-1,1.16,0.5
value,64,0.005683,31,0.999999,1e-06,-0.04,-1,1.17,0.5
value,64,0.00448,31,0.999999,1e-06,-0.04,-1,1.18,0.5
value,64,0.004339,31,0.999999,1e-06,-0.04,-1,1.19,0.5
value,64,0.004182,31,0.999999,1e-06,-0.04,-1,1.2,0.5
